# Collisional ionization coeffs (xi_i) and recombination rate coeffs (alpha_i) for C ions 
# Temp[K]      xi_C0	 alpha_C+	  xi_C+		  alpha_C2+		xi_C2+	   alpha_C3+	xi_C3+		alpha_C4+	 xi_C4+		 alpha_C5+		xi_C5+	  alpha_C6+	
1.0000e+03   0.0000e+00  2.8715e-12   0.0000e+00  1.8246e-11   0.0000e+00  6.4217e-11   0.0000e+00  3.9297e-11   0.0000e+00  7.1980e-11   0.0000e+00  1.1239e-10 
1.1548e+03   0.0000e+00  2.7373e-12   0.0000e+00  1.8590e-11   0.0000e+00  6.7749e-11   0.0000e+00  3.5800e-11   0.0000e+00  6.5841e-11   0.0000e+00  1.0305e-10 
1.3335e+03   0.0000e+00  2.6233e-12   0.0000e+00  1.8705e-11   0.0000e+00  7.0217e-11   0.0000e+00  3.2593e-11   0.0000e+00  6.0203e-11   0.0000e+00  9.4452e-11 
1.5399e+03   0.0000e+00  2.5166e-12   0.0000e+00  1.8532e-11   0.0000e+00  7.1321e-11   0.0000e+00  2.9653e-11   0.0000e+00  5.5027e-11   0.0000e+00  8.6552e-11 
1.7783e+03   2.5640e-41  2.4077e-12   0.0000e+00  1.8057e-11   0.0000e+00  7.0982e-11   0.0000e+00  2.6962e-11   0.0000e+00  5.0278e-11   0.0000e+00  7.9293e-11 
2.0535e+03   5.5987e-37  2.2905e-12   0.0000e+00  1.7305e-11   0.0000e+00  6.9304e-11   0.0000e+00  2.4498e-11   0.0000e+00  4.5923e-11   0.0000e+00  7.2625e-11 
2.3714e+03   3.2501e-33  2.1628e-12   0.0000e+00  1.6327e-11   0.0000e+00  6.6512e-11   0.0000e+00  2.2246e-11   0.0000e+00  4.1930e-11   0.0000e+00  6.6502e-11 
2.7384e+03   5.9901e-30  2.0252e-12   0.0000e+00  1.5191e-11   0.0000e+00  6.2877e-11   0.0000e+00  2.0188e-11   0.0000e+00  3.8271e-11   0.0000e+00  6.0880e-11 
3.1623e+03   4.0878e-27  1.8804e-12   0.0000e+00  1.3967e-11   0.0000e+00  5.8671e-11   0.0000e+00  1.8309e-11   0.0000e+00  3.4920e-11   0.0000e+00  5.5720e-11 
3.6517e+03   1.1800e-24  1.7318e-12   1.4095e-42  1.2727e-11   0.0000e+00  5.4127e-11   0.0000e+00  1.6595e-11   0.0000e+00  3.1851e-11   0.0000e+00  5.0985e-11 
4.2170e+03   1.6170e-22  1.5833e-12   4.8073e-38  1.1534e-11   0.0000e+00  4.9436e-11   0.0000e+00  1.5032e-11   0.0000e+00  2.9042e-11   0.0000e+00  4.6641e-11 
4.8697e+03   1.1622e-20  1.4383e-12   4.0734e-34  1.0436e-11   0.0000e+00  4.4747e-11   0.0000e+00  1.3609e-11   0.0000e+00  2.6472e-11   0.0000e+00  4.2657e-11 
5.6234e+03   4.7773e-19  1.2994e-12   1.0335e-30  9.4658e-12   0.0000e+00  4.0170e-11   0.0000e+00  1.2312e-11   0.0000e+00  2.4122e-11   0.0000e+00  3.9004e-11 
6.4938e+03   1.2103e-17  1.1689e-12   9.2297e-28  8.6324e-12   0.0000e+00  3.5792e-11   0.0000e+00  1.1133e-11   0.0000e+00  2.1974e-11   0.0000e+00  3.5655e-11 
7.4989e+03   2.0165e-16  1.0480e-12   3.3373e-25  7.9271e-12   1.3001e-41  3.1687e-11   0.0000e+00  1.0061e-11   0.0000e+00  2.0010e-11   0.0000e+00  3.2586e-11 
8.6596e+03   2.3370e-15  9.3834e-13   5.5159e-23  7.3277e-12   2.8179e-37  2.7948e-11   0.0000e+00  9.0868e-12   0.0000e+00  1.8216e-11   0.0000e+00  2.9773e-11 
1.0000e+04   1.9777e-14  8.4359e-13   4.6284e-21  6.8074e-12   1.6132e-33  2.4718e-11   1.0504e-42  8.2024e-12   0.0000e+00  1.6577e-11   0.0000e+00  2.7196e-11 
1.1548e+04   1.2746e-13  7.7501e-13   2.1594e-19  6.3474e-12   2.9160e-30  2.2223e-11   2.5379e-38  7.3999e-12   0.0000e+00  1.5081e-11   0.0000e+00  2.4836e-11 
1.3335e+04   6.4884e-13  7.6016e-13   6.0609e-18  5.9550e-12   1.9425e-27  2.0773e-11   1.5987e-34  6.6722e-12   0.0000e+00  1.3715e-11   0.0000e+00  2.2674e-11 
1.5399e+04   2.6924e-12  8.5146e-13   1.0956e-16  5.6889e-12   5.4518e-25  2.0687e-11   3.1440e-31  6.0127e-12   0.0000e+00  1.2469e-11   0.0000e+00  2.0695e-11 
1.7783e+04   9.3585e-12  1.1264e-12   1.3529e-15  5.6817e-12   7.2388e-23  2.2183e-11   2.2566e-28  5.4153e-12   0.0000e+00  1.1333e-11   0.0000e+00  1.8883e-11 
2.0535e+04   2.7901e-11  1.6727e-12   1.2013e-14  6.1384e-12   5.0272e-21  2.5257e-11   6.7663e-26  4.8746e-12   0.0000e+00  1.0296e-11   0.0000e+00  1.7224e-11 
2.3714e+04   7.2818e-11  2.5593e-12   8.0168e-14  7.2928e-12   1.9919e-19  2.9629e-11   9.5285e-24  4.3854e-12   0.0000e+00  9.3508e-12   0.0000e+00  1.5706e-11 
2.7384e+04   1.6933e-10  3.8058e-12   4.1778e-13  9.3262e-12   4.8549e-18  3.4774e-11   6.9740e-22  3.9431e-12   0.0000e+00  8.4893e-12   0.0000e+00  1.4318e-11 
3.1623e+04   3.5626e-10  5.3643e-12   1.7575e-12  1.2281e-11   7.7687e-17  4.0034e-11   2.8963e-20  3.5433e-12   0.0000e+00  7.7044e-12   0.0000e+00  1.3047e-11 
3.6517e+04   6.8714e-10  7.1227e-12   6.1424e-12  1.6011e-11   8.6356e-16  4.4760e-11   7.3639e-19  3.1823e-12   0.0000e+00  6.9893e-12   0.0000e+00  1.1885e-11 
4.2170e+04   1.2290e-09  8.9261e-12   1.8283e-11  2.0195e-11   7.0018e-15  4.8428e-11   1.2242e-17  2.8563e-12   0.0000e+00  6.3381e-12   0.0000e+00  1.0823e-11 
4.8697e+04   2.0583e-09  1.0609e-11   4.7352e-11  2.4405e-11   4.3199e-14  5.0714e-11   1.4087e-16  2.5622e-12   0.0000e+00  5.7451e-12   0.0000e+00  9.8515e-12 
5.6234e+04   3.2558e-09  1.2026e-11   1.0872e-10  2.8201e-11   2.1036e-13  5.1507e-11   1.1788e-15  2.2970e-12   0.0000e+00  5.2054e-12   0.0000e+00  8.9636e-12 
6.4938e+04   4.8997e-09  1.3071e-11   2.2487e-10  3.1220e-11   8.3457e-13  5.0878e-11   7.4859e-15  2.0580e-12   1.6013e-41  4.7142e-12   0.0000e+00  8.1521e-12 
7.4989e+04   7.0594e-09  1.3692e-11   4.2487e-10  3.3227e-11   2.7724e-12  4.9023e-11   3.7436e-14  1.8426e-12   2.0702e-37  4.2674e-12   3.6597e-44  7.4107e-12 
8.6596e+04   9.7904e-09  1.3882e-11   7.4211e-10  3.4135e-11   7.8965e-12  4.6212e-11   1.5222e-13  1.6487e-12   7.6033e-34  3.8611e-12   1.0032e-39  6.7334e-12 
1.0000e+05   1.3131e-08  1.3678e-11   1.2108e-09  3.3987e-11   1.9684e-11  4.2732e-11   5.1738e-13  1.4742e-12   9.3906e-31  3.4916e-12   7.0449e-36  6.1149e-12 
1.1548e+05   1.7098e-08  1.3142e-11   1.8618e-09  3.2920e-11   4.3710e-11  3.8853e-11   1.5056e-12  1.3172e-12   4.5139e-28  3.1558e-12   1.5211e-32  5.5502e-12 
1.3335e+05   2.1691e-08  1.2351e-11   2.7189e-09  3.1128e-11   8.7798e-11  3.4808e-11   3.8294e-12  1.1761e-12   9.5831e-26  2.8506e-12   1.1828e-29  5.0347e-12 
1.5399e+05   2.6884e-08  1.1385e-11   3.7960e-09  2.8822e-11   1.6165e-10  3.0784e-11   8.6674e-12  1.0493e-12   1.0026e-23  2.5734e-12   3.7986e-27  4.5643e-12 
1.7783e+05   3.2636e-08  1.0317e-11   5.0956e-09  2.6203e-11   2.7593e-10  2.6919e-11   1.7729e-11  9.3543e-13   5.6841e-22  2.3217e-12   5.6723e-25  4.1352e-12 
2.0535e+05   3.8884e-08  9.2109e-12   6.6086e-09  2.3448e-11   4.4098e-10  2.3308e-11   3.3213e-11  8.3328e-13   1.8955e-20  2.0932e-12   4.3643e-23  3.7439e-12 
2.3714e+05   4.5550e-08  8.1170e-12   8.3153e-09  2.0695e-11   6.6547e-10  2.0006e-11   5.7645e-11  7.4180e-13   3.9923e-19  1.8859e-12   1.8910e-21  3.3872e-12 
2.7384e+05   5.2542e-08  7.0720e-12   1.0187e-08  1.8050e-11   9.5517e-10  1.7042e-11   9.3623e-11  6.6043e-13   5.6479e-18  1.6980e-12   4.9833e-20  3.0621e-12 
3.1623e+05   5.9753e-08  6.1007e-12   1.2188e-08  1.5582e-11   1.3122e-09  1.4421e-11   1.4350e-10  5.8951e-13   5.6606e-17  1.5282e-12   8.5375e-19  2.7660e-12 
3.6517e+05   6.7070e-08  5.2175e-12   1.4278e-08  1.3333e-11   1.7347e-09  1.2133e-11   2.0913e-10  5.3115e-13   4.2090e-16  1.3761e-12   1.0074e-17  2.4964e-12 
4.2170e+05   7.4374e-08  4.4287e-12   1.6414e-08  1.1323e-11   2.2168e-09  1.0158e-11   2.9160e-10  4.8993e-13   2.4165e-15  1.2433e-12   8.6058e-17  2.2510e-12 
4.8697e+05   8.1544e-08  3.7348e-12   1.8551e-08  9.5541e-12   2.7496e-09  8.4703e-12   3.9114e-10  4.7295e-13   1.1089e-14  1.1341e-12   5.5577e-16  2.0279e-12 
5.6234e+05   8.8460e-08  3.1319e-12   2.0647e-08  8.0175e-12   3.3213e-09  7.0414e-12   5.0707e-10  4.8822e-13   4.1905e-14  1.0565e-12   2.8168e-15  1.8250e-12 
6.4938e+05   9.5011e-08  2.6137e-12   2.2661e-08  6.6969e-12   3.9183e-09  5.8420e-12   6.3789e-10  5.4188e-13   1.3383e-13  1.0203e-12   1.1573e-14  1.6407e-12 
7.4989e+05   1.0110e-07  2.1721e-12   2.4556e-08  5.5721e-12   4.5264e-09  4.8431e-12   7.8135e-10  6.3494e-13   3.6933e-13  1.0342e-12   3.9635e-14  1.4734e-12 
8.6596e+05   1.0663e-07  1.7987e-12   2.6300e-08  4.6211e-12   5.1309e-09  4.0162e-12   9.3465e-10  7.6141e-13   8.9800e-13  1.1014e-12   1.1594e-13  1.3216e-12 
1.0000e+06   1.1154e-07  1.4850e-12   2.7867e-08  3.8220e-12   5.7182e-09  3.3348e-12   1.0946e-09  9.0863e-13   1.9560e-12  1.2170e-12   2.9576e-13  1.1840e-12 
1.1548e+06   1.1579e-07  1.2228e-12   2.9238e-08  3.1541e-12   6.2755e-09  2.7745e-12   1.2578e-09  1.0597e-12   3.8722e-12  1.3669e-12   6.7003e-13  1.0594e-12 
1.3335e+06   1.1934e-07  1.0048e-12   3.0399e-08  2.5981e-12   6.7922e-09  2.3135e-12   1.4208e-09  1.1973e-12   7.0540e-12  1.5309e-12   1.3692e-12  9.4656e-13 
1.5399e+06   1.2217e-07  8.2425e-13   3.1343e-08  2.1369e-12   7.2595e-09  1.9332e-12   1.5804e-09  1.3066e-12   1.1952e-11  1.6866e-12   2.5582e-12  8.4459e-13 
1.7783e+06   1.2431e-07  6.7518e-13   3.2070e-08  1.7554e-12   7.6710e-09  1.6181e-12   1.7335e-09  1.3779e-12   1.9011e-11  1.8138e-12   4.4210e-12  7.5250e-13 
2.0535e+06   1.2577e-07  5.5247e-13   3.2584e-08  1.4404e-12   8.0223e-09  1.3558e-12   1.8775e-09  1.4073e-12   2.8614e-11  1.8983e-12   7.1382e-12  6.6943e-13 
2.3714e+06   1.2658e-07  4.5169e-13   3.2897e-08  1.1808e-12   8.3115e-09  1.1364e-12   2.0102e-09  1.3961e-12   4.1032e-11  1.9327e-12   1.0862e-11  5.9458e-13 
2.7384e+06   1.2680e-07  3.6910e-13   3.3020e-08  9.6721e-13   8.5386e-09  9.5202e-13   2.1300e-09  1.3492e-12   5.6391e-11  1.9166e-12   1.5691e-11  5.2723e-13 
3.1623e+06   1.2648e-07  3.0153e-13   3.2972e-08  7.9161e-13   8.7053e-09  7.9668e-13   2.2356e-09  1.2740e-12   7.4652e-11  1.8548e-12   2.1661e-11  4.6671e-13 
3.6517e+06   1.2567e-07  2.4631e-13   3.2769e-08  6.4741e-13   8.8146e-09  6.6559e-13   2.3265e-09  1.1788e-12   9.5614e-11  1.7559e-12   2.8729e-11  4.1240e-13 
4.2170e+06   1.2443e-07  2.0124e-13   3.2430e-08  5.2909e-13   8.8709e-09  5.5494e-13   2.4025e-09  1.0714e-12   1.1893e-10  1.6298e-12   3.6784e-11  3.6374e-13 
4.8697e+06   1.2282e-07  1.6449e-13   3.1976e-08  4.3210e-13   8.8790e-09  4.6164e-13   2.4638e-09  9.5873e-13   1.4414e-10  1.4867e-12   4.5652e-11  3.2022e-13 
5.6234e+06   1.2089e-07  1.3453e-13   3.1424e-08  3.5266e-13   8.8441e-09  3.8310e-13   2.5111e-09  8.4632e-13   1.7070e-10  1.3354e-12   5.5116e-11  2.8136e-13 
6.4938e+06   1.1870e-07  1.1013e-13   3.0791e-08  2.8764e-13   8.7719e-09  3.1715e-13   2.5450e-09  7.3831e-13   1.9803e-10  1.1835e-12   6.4926e-11  2.4672e-13 
7.4989e+06   1.1629e-07  9.0243e-14   3.0095e-08  2.3446e-13   8.6677e-09  2.6193e-13   2.5667e-09  6.3751e-13   2.2554e-10  1.0367e-12   7.4827e-11  2.1590e-13 
8.6596e+06   1.1371e-07  7.4045e-14   2.9350e-08  1.9101e-13   8.5367e-09  2.1584e-13   2.5774e-09  5.4558e-13   2.5268e-10  8.9880e-13   8.4566e-11  1.8854e-13 
1.0000e+07   1.1100e-07  6.0847e-14   2.8568e-08  1.5553e-13   8.3837e-09  1.7747e-13   2.5782e-09  4.6331e-13   2.7894e-10  7.7238e-13   9.3915e-11  1.6430e-13 
1.1548e+07   1.0819e-07  5.0090e-14   2.7761e-08  1.2658e-13   8.2132e-09  1.4563e-13   2.5703e-09  3.9082e-13   3.0389e-10  6.5866e-13   1.0267e-10  1.4286e-13 
1.3335e+07   1.0531e-07  4.1316e-14   2.6939e-08  1.0297e-13   8.0291e-09  1.1928e-13   2.5550e-09  3.2776e-13   3.2720e-10  5.5794e-13   1.1068e-10  1.2395e-13 
1.5399e+07   1.0238e-07  3.4154e-14   2.6110e-08  8.3734e-14   7.8349e-09  9.7533e-14   2.5333e-09  2.7349e-13   3.4862e-10  4.6991e-13   1.1782e-10  1.0730e-13 
1.7783e+07   9.9443e-08  2.8304e-14   2.5281e-08  6.8063e-14   7.6337e-09  7.9631e-14   2.5064e-09  2.2722e-13   3.6797e-10  3.9379e-13   1.2400e-10  9.2681e-14 
2.0535e+07   9.6499e-08  2.3518e-14   2.4457e-08  5.5305e-14   7.4278e-09  6.4926e-14   2.4751e-09  1.8806e-13   3.8519e-10  3.2858e-13   1.2921e-10  7.9872e-14 
2.3714e+07   9.3571e-08  1.9599e-14   2.3644e-08  4.4924e-14   7.2196e-09  5.2872e-14   2.4403e-09  1.5515e-13   4.0026e-10  2.7315e-13   1.3343e-10  6.8677e-14 
2.7384e+07   9.0669e-08  1.6384e-14   2.2844e-08  3.6481e-14   7.0109e-09  4.3008e-14   2.4027e-09  1.2763e-13   4.1324e-10  2.2633e-13   1.3668e-10  5.8917e-14 
3.1623e+07   8.7806e-08  1.3743e-14   2.2061e-08  2.9616e-14   6.8030e-09  3.4950e-14   2.3631e-09  1.0473e-13   4.2421e-10  1.8702e-13   1.3903e-10  5.0430e-14 
3.6517e+07   8.4990e-08  1.1568e-14   2.1296e-08  2.4037e-14   6.5973e-09  2.8377e-14   2.3219e-09  8.5758e-14   4.3332e-10  1.5416e-13   1.4054e-10  4.3067e-14 
4.2170e+07   8.2227e-08  9.7733e-15   2.0551e-08  1.9503e-14   6.3945e-09  2.3022e-14   2.2796e-09  7.0092e-14   4.4070e-10  1.2680e-13   1.4128e-10  3.6696e-14 
4.8697e+07   7.9524e-08  8.2891e-15   1.9828e-08  1.5821e-14   6.1956e-09  1.8665e-14   2.2366e-09  5.7196e-14   4.4652e-10  1.0411e-13   1.4135e-10  3.1198e-14 
5.6234e+07   7.6883e-08  7.0583e-15   1.9127e-08  1.2831e-14   6.0009e-09  1.5123e-14   2.1933e-09  4.6607e-14   4.5096e-10  8.5342e-14   1.4082e-10  2.6466e-14 
6.4938e+07   7.4308e-08  6.0346e-15   1.8447e-08  1.0404e-14   5.8110e-09  1.2247e-14   2.1500e-09  3.7932e-14   4.5417e-10  6.9860e-14   1.3978e-10  2.2402e-14 
7.4989e+07   7.1801e-08  5.1807e-15   1.7791e-08  8.4339e-15   5.6262e-09  9.9128e-15   2.1068e-09  3.0839e-14   4.5632e-10  5.7116e-14   1.3832e-10  1.8922e-14 
8.6596e+07   6.9364e-08  4.4661e-15   1.7156e-08  6.8354e-15   5.4465e-09  8.0201e-15   2.0639e-09  2.5048e-14   4.5755e-10  4.6646e-14   1.3650e-10  1.5948e-14 
1.0000e+08   6.6996e-08  3.8658e-15   1.6544e-08  5.5387e-15   5.2721e-09  6.4863e-15   2.0215e-09  2.0329e-14   4.5800e-10  3.8058e-14   1.3439e-10  1.3415e-14 
